Date,Symbol,Series,Open Price,High Price,Low Price,Last Traded Price ,Close Price,Total Traded Quantity,"Turnover (in Lakhs):""08-Nov-2021""",HINDUNILVR,EQ
"	",,,,,,,,,,,
,,,,,,,,,,,
Date, Symbol, Series, Open Price, High Price, Low Price, Last Traded Price , Close Price, Total Traded Quantity, Turnover (in Lakhs),,
08/11/2021, HINDUNILVR, EQ,2449,2449,2400.1,2434,2431.9,2555533,61722.61,,
04/11/2021, HINDUNILVR, EQ,2429,2430,2420,2424,2422.85,245719,5955.7,,
03/11/2021, HINDUNILVR, EQ,2434,2434,2386.2,2415.8,2411.35,1591607,38303.23,,
02/11/2021, HINDUNILVR, EQ,2415,2428,2402,2417.45,2418.9,1350154,32593.95,,
01/11/2021, HINDUNILVR, EQ,2393,2410.9,2368.25,2410.9,2407.1,1941114,46268.85,,
29/10/2021, HINDUNILVR, EQ,2400,2402,2373,2389,2393.15,2453400,58547.43,,
28/10/2021, HINDUNILVR, EQ,2400,2416,2368,2389,2389.65,2015791,48078.54,,
27/10/2021, HINDUNILVR, EQ,2455,2455.2,2391.15,2397.5,2396.6,3083879,74426.56,,
26/10/2021, HINDUNILVR, EQ,2468.9,2468.9,2417.05,2440,2436.85,1595060,38837.48,,
25/10/2021, HINDUNILVR, EQ,2454.1,2463.55,2410,2460,2455.85,1560381,38009.49,,
22/10/2021, HINDUNILVR, EQ,2459,2498.25,2430,2454,2454.1,1845622,45289.03,,
21/10/2021, HINDUNILVR, EQ,2503.4,2505,2428,2448,2445.75,3254632,79989.09,,
20/10/2021, HINDUNILVR, EQ,2569,2584,2470,2488.15,2478.65,4864654,122220,,
19/10/2021, HINDUNILVR, EQ,2669.9,2732,2520.5,2557.3,2546.8,5431133,143058.11,,
18/10/2021, HINDUNILVR, EQ,2672.8,2678.9,2643.05,2652.75,2654,1758177,46712.97,,
14/10/2021, HINDUNILVR, EQ,2646.75,2676.75,2620,2650,2649.55,2158809,57258.61,,
13/10/2021, HINDUNILVR, EQ,2688.1,2693.6,2642.6,2647.9,2646.75,1660007,44042.37,,
12/10/2021, HINDUNILVR, EQ,2625,2688.05,2625,2686,2676.15,1174337,31188.13,,
11/10/2021, HINDUNILVR, EQ,2642.2,2665.5,2635.5,2648.9,2645.1,1086252,28745.73,,
08/10/2021, HINDUNILVR, EQ,2670.5,2678.55,2625.4,2645.95,2640.05,1579941,41747.09,,
07/10/2021, HINDUNILVR, EQ,2698,2704.25,2666,2675.65,2669.4,1082816,29004.8,,
06/10/2021, HINDUNILVR, EQ,2694.05,2734,2676,2682.9,2686.05,862471,23302.57,,
05/10/2021, HINDUNILVR, EQ,2686.2,2714.95,2686,2709.65,2708.65,562784,15218.75,,
04/10/2021, HINDUNILVR, EQ,2700,2724,2679.7,2688,2686.2,1025005,27620.02,,
01/10/2021, HINDUNILVR, EQ,2706,2712,2680.1,2702,2704.05,956111,25743.27,,
30/09/2021, HINDUNILVR, EQ,2685.3,2705.3,2681.95,2694,2701.8,1620199,43678.7,,
29/09/2021, HINDUNILVR, EQ,2714.95,2744.45,2677,2689,2685.3,1503894,40601.9,,
